@relation 'newExperimentData-weka.filters.unsupervised.attribute.Remove-R38-42-weka.filters.unsupervised.attribute.Remove-R1,18,39,40'

@attribute vtotal numeric
@attribute binaries numeric
@attribute integer numeric
@attribute continuous numeric
@attribute ctotal numeric
@attribute part numeric
@attribute pack numeric
@attribute cov numeric
@attribute card numeric
@attribute iknp numeric
@attribute knp numeric
@attribute bflow numeric
@attribute iflow numeric
@attribute mflow numeric
@attribute min numeric
@attribute max numeric
@attribute cuts {on,off}
@attribute heuristic {on,off}
@attribute proximity {on,off}
@attribute strong numeric
@attribute trust numeric
@attribute zero {off,ifmove}
@attribute combine2 {on,off}
@attribute diveopt numeric
@attribute reduce {off,ifmove}
@attribute expensive numeric
@attribute latwomir {off,endonly,endonlyroot}
@attribute multiple numeric
@attribute pumptune numeric
@attribute residual {off,ifmove}
@attribute passf numeric
@attribute node {fewest,upfewest,updepth,hybrid,downdepth,downfewest,depth}
@attribute passt numeric
@attribute lagomory {off,endonly}
@attribute naive {off,on}
@attribute rgap_time numeric

@data
1224,384,336,504,1248,0,48,0,0,0,0,0,0,48,-124.8,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.88
1339,1339,0,0,3052,244,288,11,33,647,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1200.01
1520,1520,0,0,28979,23,1520,0,0,27360,0,76,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,260.82
3321,18,3303,0,6480,0,0,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,21.01
28599,28599,0,0,75,75,0,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,356.02
240,64,0,176,246,0,0,0,0,0,0,0,0,9,-500,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,169.17
200,200,0,0,200,0,0,200,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,28.57
7920,7920,0,0,5964,0,1814,0,0,58,0,0,0,0,-1,2,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,485.72
870,144,6,720,780,0,0,0,0,0,0,0,0,144,-250,670,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,3.37
1736,1624,112,0,2138,406,0,0,0,0,0,0,0,0,-72,72,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,700.54
1520,1520,0,0,550339,23,1520,0,0,547200,1520,76,0,0,-1,2,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1299
3312,3312,0,0,11402,2262,0,2809,0,0,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,393.75
5478,2796,2682,0,4680,0,701,0,0,0,53,0,0,0,-19,840,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,228.04
45150,45150,0,0,46496,150,897,0,0,0,0,0,0,0,-4,4,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,587.18
73885,73885,0,0,551,551,0,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,727.83
2298,170,0,2128,1026,0,0,0,0,0,10,0,0,906,-1,28.81,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,2.38
11190,11004,186,0,7652,1050,4300,30,0,0,0,350,20,0,-4,3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,571.69
45,45,0,0,331,0,0,330,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,496.5
4150,4150,0,0,1820,20,0,0,0,0,0,1800,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,443.8
6924,6724,200,0,4811,630,2759,0,0,1,0,210,32,0,-5,7,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,347.11
